RowNumber,InputTextID,PerturbationID,OriginalLabel,PerturbedLabel,IsEquivalent
54,fsa3,Identifying Individual,negative,positive,False
70,fsa4,Identifying Individual,negative,positive,False
74,fsa4,Identifying Individual,negative,positive,False
85,fsa5,Identifying Individual,negative,positive,False
89,fsa5,Identifying Individual,negative,positive,False
90,fsa5,Identifying Individual,negative,positive,False
91,fsa5,Identifying Individual,negative,positive,False
92,fsa5,Identifying Individual,negative,positive,False
93,fsa5,Identifying Individual,negative,positive,False
94,fsa5,Identifying Individual,negative,positive,False
95,fsa5,Identifying Individual,negative,positive,False
96,fsa5,Identifying Individual,negative,positive,False
97,fsa5,Identifying Individual,negative,positive,False
98,fsa5,Identifying Individual,negative,positive,False
99,fsa5,Identifying Individual,negative,positive,False
103,fsa5,Identifying Individual,negative,positive,False
104,fsa5,Identifying Individual,negative,positive,False
141,fsa7,Identifying Individual,negative,positive,False
150,fsa8,Identifying Individual,positive,neutral,False
151,fsa8,Identifying Individual,positive,negative,False
155,fsa8,Identifying Individual,positive,negative,False
156,fsa8,Identifying Individual,positive,neutral,False
157,fsa8,Identifying Individual,positive,neutral,False
165,fsa8,Identifying Individual,positive,negative,False
167,fsa8,Identifying Individual,positive,negative,False
168,fsa8,Identifying Individual,positive,negative,False
190,fsa10,Identifying Individual,negative,positive,False
193,fsa10,Identifying Individual,negative,positive,False
197,fsa10,Identifying Individual,negative,positive,False
211,fsa11,Identifying Individual,negative,positive,False
215,fsa11,Identifying Individual,negative,positive,False
216,fsa11,Identifying Individual,negative,positive,False
218,fsa11,Identifying Individual,negative,positive,False
219,fsa11,Identifying Individual,negative,positive,False
222,fsa11,Identifying Individual,negative,positive,False
223,fsa11,Identifying Individual,negative,positive,False
229,fsa11,Identifying Individual,negative,positive,False
230,fsa11,Identifying Individual,negative,positive,False
338,fsa17,Identifying Individual,negative,positive,False
358,fsa18,Identifying Individual,negative,positive,False
359,fsa18,Identifying Individual,negative,,False
360,fsa18,Identifying Individual,negative,positive,False
363,fsa18,Identifying Individual,negative,positive,False
364,fsa18,Identifying Individual,negative,positive,False
367,fsa18,Identifying Individual,negative,positive,False
368,fsa18,Identifying Individual,negative,positive,False
369,fsa18,Identifying Individual,negative,positive,False
370,fsa18,Identifying Individual,negative,positive,False
371,fsa18,Identifying Individual,negative,positive,False
372,fsa18,Identifying Individual,negative,positive,False
373,fsa18,Identifying Individual,negative,positive,False
375,fsa18,Identifying Individual,negative,positive,False
376,fsa18,Identifying Individual,negative,positive,False
377,fsa18,Identifying Individual,negative,positive,False
378,fsa18,Identifying Individual,negative,positive,False
411,fsa20,Identifying Individual,negative,positive,False
413,fsa20,Identifying Individual,negative,positive,False
427,fsa21,Identifying Individual,negative,positive,False
442,fsa22,Identifying Individual,negative,neutral,False
445,fsa22,Identifying Individual,negative,positive,False
446,fsa22,Identifying Individual,negative,neutral,False
449,fsa22,Identifying Individual,negative,neutral,False
450,fsa22,Identifying Individual,negative,neutral,False
452,fsa22,Identifying Individual,negative,neutral,False
454,fsa22,Identifying Individual,negative,neutral,False
459,fsa22,Identifying Individual,negative,neutral,False
463,fsa23,Identifying Individual,positive,negative,False
465,fsa23,Identifying Individual,positive,negative,False
466,fsa23,Identifying Individual,positive,negative,False
467,fsa23,Identifying Individual,positive,negative,False
468,fsa23,Identifying Individual,positive,negative,False
471,fsa23,Identifying Individual,positive,negative,False
472,fsa23,Identifying Individual,positive,negative,False
474,fsa23,Identifying Individual,positive,negative,False
476,fsa23,Identifying Individual,positive,negative,False
477,fsa23,Identifying Individual,positive,negative,False
478,fsa23,Identifying Individual,positive,negative,False
479,fsa23,Identifying Individual,positive,negative,False
480,fsa23,Identifying Individual,positive,neutral,False
481,fsa23,Identifying Individual,positive,negative,False
482,fsa23,Identifying Individual,positive,negative,False
483,fsa23,Identifying Individual,positive,negative,False
510,fsa25,Identifying Individual,negative,positive,False
511,fsa25,Identifying Individual,negative,neutral,False
519,fsa25,Identifying Individual,negative,positive,False
538,fsa26,Identifying Individual,negative,positive,False
540,fsa26,Identifying Individual,negative,positive,False
554,fsa27,Identifying Individual,negative,positive,False
559,fsa27,Identifying Individual,negative,positive,False
562,fsa27,Identifying Individual,negative,positive,False
568,fsa28,Identifying Individual,negative,positive,False
572,fsa28,Identifying Individual,negative,positive,False
574,fsa28,Identifying Individual,negative,positive,False
576,fsa28,Identifying Individual,negative,positive,False
577,fsa28,Identifying Individual,negative,positive,False
580,fsa28,Identifying Individual,negative,positive,False
581,fsa28,Identifying Individual,negative,positive,False
588,fsa28,Identifying Individual,negative,neutral,False
613,fsa30,Identifying Individual,negative,positive,False
614,fsa30,Identifying Individual,negative,neutral,False
615,fsa30,Identifying Individual,negative,neutral,False
616,fsa30,Identifying Individual,negative,neutral,False
617,fsa30,Identifying Individual,negative,neutral,False
618,fsa30,Identifying Individual,negative,positive,False
