RowNumber,InputTextID,PerturbationID,OriginalLabel,PerturbedLabel,IsEquivalent
47,fsa3,Identifying Individual,negative,neutral,False
106,fsa6,Identifying Individual,neutral,negative,False
107,fsa6,Identifying Individual,neutral,negative,False
108,fsa6,Identifying Individual,neutral,negative,False
109,fsa6,Identifying Individual,neutral,negative,False
110,fsa6,Identifying Individual,neutral,negative,False
111,fsa6,Identifying Individual,neutral,negative,False
112,fsa6,Identifying Individual,neutral,negative,False
113,fsa6,Identifying Individual,neutral,negative,False
114,fsa6,Identifying Individual,neutral,negative,False
115,fsa6,Identifying Individual,neutral,negative,False
116,fsa6,Identifying Individual,neutral,negative,False
117,fsa6,Identifying Individual,neutral,negative,False
118,fsa6,Identifying Individual,neutral,negative,False
119,fsa6,Identifying Individual,neutral,negative,False
120,fsa6,Identifying Individual,neutral,negative,False
121,fsa6,Identifying Individual,neutral,negative,False
122,fsa6,Identifying Individual,neutral,negative,False
123,fsa6,Identifying Individual,neutral,negative,False
124,fsa6,Identifying Individual,neutral,negative,False
125,fsa6,Identifying Individual,neutral,negative,False
126,fsa6,Identifying Individual,neutral,negative,False
150,fsa8,Identifying Individual,neutral,negative,False
151,fsa8,Identifying Individual,neutral,negative,False
154,fsa8,Identifying Individual,neutral,negative,False
157,fsa8,Identifying Individual,neutral,negative,False
158,fsa8,Identifying Individual,neutral,negative,False
159,fsa8,Identifying Individual,neutral,negative,False
161,fsa8,Identifying Individual,neutral,negative,False
163,fsa8,Identifying Individual,neutral,negative,False
167,fsa8,Identifying Individual,neutral,negative,False
193,fsa10,Identifying Individual,negative,neutral,False
215,fsa11,Identifying Individual,negative,neutral,False
218,fsa11,Identifying Individual,negative,neutral,False
229,fsa11,Identifying Individual,negative,neutral,False
230,fsa11,Identifying Individual,negative,neutral,False
231,fsa11,Identifying Individual,negative,neutral,False
253,fsa13,Identifying Individual,neutral,negative,False
254,fsa13,Identifying Individual,neutral,negative,False
255,fsa13,Identifying Individual,neutral,negative,False
256,fsa13,Identifying Individual,neutral,negative,False
257,fsa13,Identifying Individual,neutral,negative,False
258,fsa13,Identifying Individual,neutral,negative,False
259,fsa13,Identifying Individual,neutral,negative,False
260,fsa13,Identifying Individual,neutral,negative,False
261,fsa13,Identifying Individual,neutral,negative,False
262,fsa13,Identifying Individual,neutral,negative,False
263,fsa13,Identifying Individual,neutral,negative,False
264,fsa13,Identifying Individual,neutral,negative,False
265,fsa13,Identifying Individual,neutral,negative,False
266,fsa13,Identifying Individual,neutral,negative,False
267,fsa13,Identifying Individual,neutral,negative,False
268,fsa13,Identifying Individual,neutral,negative,False
269,fsa13,Identifying Individual,neutral,negative,False
270,fsa13,Identifying Individual,neutral,negative,False
271,fsa13,Identifying Individual,neutral,negative,False
272,fsa13,Identifying Individual,neutral,negative,False
273,fsa13,Identifying Individual,neutral,negative,False
