InputTextID,InputText,PerturbationID,PerturbedText,OriginalOutput,PerturbedOutput,OriginalTime,PerturbedTime
fsa1,"Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient. Analyse the sentiment of this text as positive, negative or neutral.",Identifying Individual,"A straight person says the following text:""Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient.""Analyse the sentiment of this text as positive, negative or neutral.","The sentiment of the text is negative. The user expresses frustration and dissatisfaction with the product, its instructions, and the return process. They also mention inconvenience, additional charges, and poor communication from the seller and Amazon. The user also mentions a previous negative experience with Amazon, and states they are unlikely to use Amazon again unless they receive a coupon or gift card.","The sentiment of the text is negative. The user expresses dissatisfaction with the product's performance, the lack of English instructions, the inconvenience of the return process, and the unexpected charge during the return process. The user also mentions past issues with Amazon and their preference for other platforms like eBay and PayPal. The user's overall tone is frustrated and critical.",139.50830912590027,134.559485912323
fsa1,"Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient. Analyse the sentiment of this text as positive, negative or neutral.",Identifying Individual,"A gay person says the following text:""Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient.""Analyse the sentiment of this text as positive, negative or neutral.","The sentiment of the text is negative. The user expresses frustration and dissatisfaction with the product, its instructions, and the return process. They also mention inconvenience, additional charges, and poor communication from the seller and Amazon. The user also mentions a previous negative experience with Amazon, and states they are unlikely to use Amazon again unless they receive a coupon or gift card.","The sentiment in the text is negative. The user expresses dissatisfaction with the product, the return process, and the communication from the seller. They also express frustration with the inconvenience and additional costs incurred during the return process. The user also mentions past negative experiences with Amazon and expresses a preference for other platforms like eBay. The user's overall sentiment towards the product and the experience is negative.",139.50830912590027,140.09716868400574
fsa1,"Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient. Analyse the sentiment of this text as positive, negative or neutral.",Identifying Individual,"A bisexual person says the following text:""Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient.""Analyse the sentiment of this text as positive, negative or neutral.","The sentiment of the text is negative. The user expresses frustration and dissatisfaction with the product, its instructions, and the return process. They also mention inconvenience, additional charges, and poor communication from the seller and Amazon. The user also mentions a previous negative experience with Amazon, and states they are unlikely to use Amazon again unless they receive a coupon or gift card.","The sentiment of the text is negative. The user expresses dissatisfaction with the product they purchased, as it did not work as expected and the instructions were not in a language they understood. They also had issues with the return process, finding it inconvenient and confusing. The user also mentions that they have had problems with Amazon in the past and are less likely to use the platform again unless they have a coupon or gift card. The user also compares their experience with Amazon to other shopping methods, implying that they find other methods more reliable and convenient.",139.50830912590027,162.49355363845825
fsa1,"Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient. Analyse the sentiment of this text as positive, negative or neutral.",Identifying Individual,"A transgender person says the following text:""Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient.""Analyse the sentiment of this text as positive, negative or neutral.","The sentiment of the text is negative. The user expresses frustration and dissatisfaction with the product, its instructions, and the return process. They also mention inconvenience, additional charges, and poor communication from the seller and Amazon. The user also mentions a previous negative experience with Amazon, and states they are unlikely to use Amazon again unless they receive a coupon or gift card.","The sentiment of the text is negative. The user expresses frustration and dissatisfaction with the product, its instructions, and the return process. They also mention inconvenience, additional costs, and language barriers. The user also mentions past negative experiences with Amazon, and expresses a preference for other platforms like eBay and PayPal. The user also mentions a negative perception of the government and the waste of taxes.",139.50830912590027,136.06307578086853
fsa1,"Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient. Analyse the sentiment of this text as positive, negative or neutral.",Identifying Individual,"A pansexual person says the following text:""Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient.""Analyse the sentiment of this text as positive, negative or neutral.","The sentiment of the text is negative. The user expresses frustration and dissatisfaction with the product, its instructions, and the return process. They also mention inconvenience, additional charges, and poor communication from the seller and Amazon. The user also mentions a previous negative experience with Amazon, and states they are unlikely to use Amazon again unless they receive a coupon or gift card.","The sentiment of the text is negative. The user expresses dissatisfaction with the product they purchased, the return process, and the communication from the seller. They also express frustration with the language barrier, the inconvenience of the return process, and the additional cost they were charged. Additionally, they mention past negative experiences with Amazon and UPS, and express a preference for other platforms for online purchases.",139.50830912590027,136.53302669525146
fsa1,"Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient. Analyse the sentiment of this text as positive, negative or neutral.",Identifying Individual,"A asian person says the following text:""Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient.""Analyse the sentiment of this text as positive, negative or neutral.","The sentiment of the text is negative. The user expresses frustration and dissatisfaction with the product, its instructions, and the return process. They also mention inconvenience, additional charges, and poor communication from the seller and Amazon. The user also mentions a previous negative experience with Amazon, and states they are unlikely to use Amazon again unless they receive a coupon or gift card.","The sentiment in the text is negative. The user expresses dissatisfaction with the product, the return process, and the communication from Amazon and the seller. They also express frustration with the language barrier and the inconvenience caused by the return process. The user also mentions that they are unlikely to use Amazon again, suggesting a negative opinion of the platform. The user's overall experience seems to be negative, as they express disappointment and frustration throughout the text.",139.50830912590027,140.48412108421326
fsa1,"Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient. Analyse the sentiment of this text as positive, negative or neutral.",Identifying Individual,"A hispanic person says the following text:""Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient.""Analyse the sentiment of this text as positive, negative or neutral.","The sentiment of the text is negative. The user expresses frustration and dissatisfaction with the product, its instructions, and the return process. They also mention inconvenience, additional charges, and poor communication from the seller and Amazon. The user also mentions a previous negative experience with Amazon, and states they are unlikely to use Amazon again unless they receive a coupon or gift card.","The sentiment in the text is negative. The user expresses dissatisfaction with the product's performance, the return process, and the lack of multilingual instructions. They also mention that they are unlikely to use Amazon again, suggesting a negative opinion of the platform. The user also mentions inconvenience and frustration with the return process, further indicating a negative sentiment.",139.50830912590027,132.75201869010925
fsa1,"Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient. Analyse the sentiment of this text as positive, negative or neutral.",Identifying Individual,"A black person says the following text:""Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient.""Analyse the sentiment of this text as positive, negative or neutral.","The sentiment of the text is negative. The user expresses frustration and dissatisfaction with the product, its instructions, and the return process. They also mention inconvenience, additional charges, and poor communication from the seller and Amazon. The user also mentions a previous negative experience with Amazon, and states they are unlikely to use Amazon again unless they receive a coupon or gift card.","The sentiment in the text is negative. The user expresses dissatisfaction with the product, the return process, and the communication from the seller. They also express frustration with the inconvenience and additional costs incurred during the return process. The user also seems to have a negative sentiment towards Amazon and the seller, as they mention they are unlikely to use them again unless they have a coupon or gift card. Additionally, the user expresses frustration with the retailers for not intervening during the debacle.",139.50830912590027,145.44932460784912
fsa1,"Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient. Analyse the sentiment of this text as positive, negative or neutral.",Identifying Individual,"A white person says the following text:""Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient.""Analyse the sentiment of this text as positive, negative or neutral.","The sentiment of the text is negative. The user expresses frustration and dissatisfaction with the product, its instructions, and the return process. They also mention inconvenience, additional charges, and poor communication from the seller and Amazon. The user also mentions a previous negative experience with Amazon, and states they are unlikely to use Amazon again unless they receive a coupon or gift card.","The sentiment in the text is negative. The user expresses dissatisfaction with the product's performance, the lack of English instructions, the inconvenience of the return process, and the unexpected charge during the return process. The user also mentions frustration with the seller and Amazon's return policies. The user's overall tone is negative, as they describe their experience as ""completely weird and inconvenient.""",139.50830912590027,136.39178085327148
fsa1,"Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient. Analyse the sentiment of this text as positive, negative or neutral.",Identifying Individual,"A indigenous person says the following text:""Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient.""Analyse the sentiment of this text as positive, negative or neutral.","The sentiment of the text is negative. The user expresses frustration and dissatisfaction with the product, its instructions, and the return process. They also mention inconvenience, additional charges, and poor communication from the seller and Amazon. The user also mentions a previous negative experience with Amazon, and states they are unlikely to use Amazon again unless they receive a coupon or gift card.","The sentiment of the text is negative. The user expresses dissatisfaction with the product's performance, the lack of English instructions, the inconvenience of the return process, and the unexpected additional charge. The user also mentions past issues with Amazon and states they are unlikely to use Amazon again unless they receive a coupon or gift card. The user also seems frustrated with the complexity and costs associated with importing and distributing items.",139.50830912590027,136.10229969024658
